No.;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Kunci
1;SMA;Mengapa Al-Qur'an disebut sebagai Mu'jizat al-Akbar dibandingkan kitab sebelumnya?;Karena keasliannya dijamin Allah hingga akhir zaman;Karena bahasanya sangat indah;Karena turun di tempat terbaik;Karena jumlah halamannya paling banyak;A
2;SMA;Dalam konsep Ijtihad, mengapa penggunaan Qiyas diletakkan setelah Al-Qur'an dan Sunnah?;Karena manusia punya nafsu;Sebagai sarana mencari hukum baru yang belum ada teksnya;Karena lebih mudah dilakukan;Karena perintah khalifah;B
3;SMA;Apa implikasi teologis dari konsep Qada dan Qadar terhadap etos kerja seorang Muslim?;Menjadikan kerja sebagai bentuk ibadah dan syukur;Membuat manusia pasrah dan malas;Menghilangkan tanggung jawab pribadi;Mengurangi beban dosa;A
4;SMA;Jelaskan perbedaan esensial antara Syirik Akbar dan Syirik Asghar dalam kaitan dengan keimanan?;Syirik asghar tidak dosa;Syirik asghar tidak mengeluarkan pelakunya dari Islam;Keduanya sama saja;Syirik asghar lebih bahaya;B
5;SMA;Mengapa konsep Al-Asmaul Husna seperti Al-Adl (Maha Adil) menuntut manusia berperilaku jujur?;Karena takut pada malaikat;Karena Allah akan membalas setiap keadilan;Agar disukai masyarakat;Karena perintah adat;B
6;SMA;Bagaimana cara mensinergikan Ibadah Mahdhah dan Ghairu Mahdhah dalam kehidupan sehari-hari?;Memilih salah satu saja;Menjadikan seluruh hidup sebagai pengabdian kepada Allah;Mengutamakan ibadah sosial;Melakukan ritual saja;B
7;SMA;Mengapa Islam sangat menekankan Etos Kerja (Q.S. At-Taubah: 105)?;Agar cepat kaya;Agar manusia memberikan kontribusi bagi peradaban;Agar tidak diremehkan tetangga;Karena manusia harus berkompetisi;B
8;SMA;Dalam Islam, apakah Pernikahan dipandang hanya sebagai kontrak perdata atau ibadah?;Ibadah yang berdimensi kontrak (mitsaqan ghalizha);Kontrak bisnis biasa;Hanya pemenuhan nafsu;Hanya untuk keturunan;A
9;SMA;Apa tantangan utama Ekonomi Syariah di era sistem perbankan konvensional yang dominan?;Kurangnya modal;Implementasi prinsip anti-riba yang konsisten;Tidak adanya nasabah;Kurangnya dukungan teknologi;B
10;SMA;Apa hakikat dari Sabar dalam menghadapi fenomena Post-Truth atau berita bohong di internet?;Menahan diri untuk tidak menyebarkan berita sebelum tabayyun;Diam saja agar aman;Membantah semua berita;Mempercayai semua berita;A
11;SMA;Bagaimana posisi Ijtihad dalam menjawab tantangan teknologi AI dan bioetika?;Dibutuhkan ijtihad kolektif oleh para pakar;Tidak ada hubungan;Dilarang keras;Harus menunggu wahyu;A
12;SMA;Mengapa Tasawuf yang benar harus dibarengi dengan Syariat?;Agar terlihat religius;Agar tidak terjerumus dalam penyimpangan/bid'ah;Agar mudah dipahami;Karena perintah guru;B
13;SMA;Apa perbedaan prinsipil antara Demokrasi Barat dan Syura dalam Islam?;Tidak ada perbedaan;Syura berlandaskan kedaulatan Allah (tauhid);Syura lebih lambat;Demokrasi lebih adil;B
14;SMA;Mengapa Al-Qur'an melarang keras membunuh jiwa tanpa alasan yang dibenarkan hukum?;Karena manusia sangat berharga;Karena itu bentuk pelanggaran terhadap hak Allah;Karena merugikan ekonomi;Karena takut hukuman;B
15;SMA;Apa tujuan Pewarisan (Mawaris) dalam Islam selain keadilan ekonomi?;Mencegah penumpukan harta pada satu pihak;Menambah beban keluarga;Mempercepat pembagian harta;Mencari popularitas;A
16;SMA;Bagaimana Islam memandang konsep Gender dalam kepemimpinan?;Islam menekankan kompetensi dan ketakwaan;Hanya untuk laki-laki;Hanya untuk perempuan;Tidak ada aturan;A
17;SMA;Mengapa Kejahatan Cyber termasuk dalam dosa besar yang merugikan publik?;Karena pelakunya pintar;Karena mendatangkan mudarat bagi banyak orang;Karena tidak ada aturan;Karena mudah dilakukan;B
18;SMA;Apa makna Keadilan Sosial dalam konsep Zakat?;Distribusi harta untuk kesejahteraan kolektif;Mengurangi pajak;Menguntungkan amil;Menambah prestise;A
19;SMA;Mengapa Islam sangat menekankan perlindungan terhadap Lingkungan Hidup?;Agar indah dipandang;Karena manusia adalah khalifah yang bertanggung jawab;Karena perintah pemerintah;Karena lahan terbatas;B
20;SMA;Apa tujuan utama Dakwah menurut Q.S. An-Nahl: 125?;Memaksa orang masuk Islam;Mengajak ke jalan Allah dengan hikmah dan tutur kata baik;Menunjukkan superioritas agama;Mencari massa sebanyak-banyaknya;B
21;SMA;Apa yang dimaksud dengan Istiqamah dalam beragama di era sekularisme?;Tetap menjalankan prinsip agama meski ditekan lingkungan;Mengikuti arus zaman;Tidak peduli dengan dunia;Pindah agama;A
22;SMA;Mengapa Islam melarang Minuman Keras secara total?;Karena merusak kesehatan saja;Karena menghilangkan akal dan merusak tatanan sosial;Karena rasanya pahit;Karena mahal harganya;B
23;SMA;Apa hakikat dari Ibadah Haji sebagai miniatur hari kiamat?;Agar capek;Pengingat bahwa manusia sama di hadapan Allah;Mencari teman;Karena perintah raja;B
24;SMA;Mengapa Kejujuran Akademik adalah bentuk penerapan iman bagi pelajar?;Agar mendapat nilai bagus;Karena Allah Maha Mengetahui segalanya;Agar dipuji guru;Agar naik kelas;B
25;SMA;Apa perbedaan antara Konflik Sosial dan Perbedaan Pendapat menurut Islam?;Tidak ada perbedaan;Konflik bersifat merusak, perbedaan bisa memperkaya;Keduanya dilarang;Keduanya wajib ada;B
26;SMA;Apa peran Ilmu Pengetahuan dalam memperkuat iman?;Tidak ada peran;Menyingkap rahasia alam sebagai tanda kebesaran Allah;Membuat orang sombong;Hanya untuk dunia;B
27;SMA;Bagaimana sikap Islam terhadap Pluralitas (keberagaman)?;Menganggap semua sama;Menghargai keberagaman sebagai sunnatullah;Memaksa satu keyakinan;Menolak keberagaman;B
28;SMA;Apa implikasi teologis dari sifat Al-Muntaqim (Maha Pembalas) Allah?;Agar manusia takut;Agar manusia berhati-hati dalam berbuat zalim;Agar manusia pasrah;Agar manusia menangis;B
29;SMA;Mengapa Sabar dalam ketaatan lebih berat daripada Sabar dalam musibah?;Karena musibah itu enak;Karena ketaatan menuntut disiplin terus menerus;Karena musibah bisa lari;Karena ketaatan mudah;B
30;SMA;Apa hakikat Dunia dalam perspektif Islam?;Tempat untuk bersenang-senang;Tempat menanam kebaikan untuk akhirat;Tempat untuk kekal;Penjara bagi orang beriman;B
31;SMA;Mengapa Hijrah tidak hanya berarti berpindah tempat?;Karena tidak punya uang;Karena hijrah adalah perubahan mental dan perilaku;Karena sudah aman;Karena perintah guru;B
32;SMA;Bagaimana Islam memandang Kritik terhadap Pemimpin?;Harus diam saja;Wajib jika tujuannya amar ma'ruf nahi munkar;Boleh lewat fitnah;Haram mutlak;B
33;SMA;Apa yang dimaksud dengan Akhlakul Karimah sebagai cerminan iman?;Iman hanya di hati;Iman yang mewujud dalam perilaku nyata;Iman adalah untuk pamer;Iman tanpa perbuatan;B
34;SMA;Apa dasar Hukum Waris Islam dibandingkan hukum buatan manusia?;Karena lebih rumit;Karena ditetapkan langsung oleh Allah dengan adil;Karena lebih mudah;Karena mengikuti adat;B
35;SMA;Mengapa Salat dapat mencegah perbuatan keji dan munkar?;Karena salat itu olahraga;Karena salat menghubungkan jiwa dengan Allah;Karena salat itu disiplin;Karena salat itu ibadah;B
36;SMA;Apa arti Fisabilillah dalam distribusi zakat saat ini?;Hanya untuk perang fisik;Segala perjuangan menegakkan kebenaran dan ilmu;Untuk pembangunan kantor;Untuk kebutuhan pribadi;B
37;SMA;Mengapa Bertaubat harus dilakukan segera?;Agar tidak rugi;Karena ajal manusia tidak diketahui waktunya;Karena perintah orang tua;Agar merasa tenang;B
38;SMA;Bagaimana pandangan Islam terhadap Seni dan Budaya?;Dilarang keras;Boleh selama tidak melanggar syariat;Wajib diikuti semuanya;Hanya untuk ibadah;B
39;SMA;Apa hakikat dari Ukhuwah Islamiyah?;Memilih teman yang sama;Persaudaraan berbasis akidah di atas perbedaan;Membela teman yang salah;Harus satu suku;B
40;SMA;Mengapa Ikhlas meniadakan sifat Riya?;Karena riya itu enak;Karena fokusnya hanya pada ridha Allah;Karena riya itu sulit;Karena riya itu mudah;B
41;SMA;Apa tantangan Dakwah di era digital?;Tidak ada tantangan;Menghadapi fitnah dan kecepatan arus informasi;Kurangnya alat;Tidak adanya audiens;B
42;SMA;Apa hakikat dari Doa bagi seorang Mukmin?;Perintah memaksa Allah;Penyataan kehambaan dan harapan kepada Allah;Agar cepat dikabulkan;Karena takut doa;B
43;SMA;Mengapa Keadilan adalah syarat utama tegaknya hukum Islam?;Agar ditakuti;Karena Allah mencintai orang yang adil;Karena perintah raja;Karena agar populer;B
44;SMA;Bagaimana Islam melihat Kemajuan Sains?;Berseberangan;Sebagai pelengkap pemahaman tentang kebesaran Allah;Harus dijauhi;Hanya untuk Barat;B
45;SMA;Apa hakikat dari Jujur bagi seorang pengusaha?;Agar untung cepat;Kepercayaan yang mendatangkan berkah;Agar pelanggan banyak;Agar terkenal;B
46;SMA;Mengapa Keluarga adalah unit terkecil peradaban?;Karena kecil;Karena dari keluarga nilai dasar agama ditanamkan;Karena mudah dibentuk;Karena semua punya keluarga;B
47;SMA;Apa hakikat Ziarah Kubur dalam Islam?;Meminta sesuatu pada mayit;Mengingat kematian dan mendoakan penghuninya;Mencari kekayaan;Untuk liburan;B
48;SMA;Bagaimana Islam memandang Perbedaan Madzhab?;Wajib saling perang;Sebagai kekayaan khazanah keilmuan Islam;Sebagai tanda perpecahan;Harus disatukan paksa;B
49;SMA;Mengapa Ibadah tidak boleh hanya formalitas?;Karena Allah melihat hatinya;Karena nilai ibadah terletak pada kekhusyukan;Karena formalitas itu sulit;Karena formalitas itu mudah;B
50;SMA;Bagaimana cara mencapai Husnul Khatimah?;Dengan angan-angan;Dengan menjaga konsistensi amal saleh hingga akhir;Dengan harta;Dengan gelar;B
