No. ;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Kunci
1;SMP;Hukum bacaan idgham bigunnah terjadi apabila nun mati atau tanwin bertemu dengan salah satu huruf...;Yaa, Nun, Mim, Wawu;Ba, Mim, Nun, Wawu;Lam, Ra, Yaa, Mim;Idzhar halqi;A
2;SMP;Apa perbedaan mendasar antara Idgham Mutamatsilain dan Idgham Mutajanisain?;Huruf yang bertemu sama persis vs makhraj sama sifat berbeda;Keduanya sama saja;Mutajanisain wajib dibaca dengung;Mutamatsilain tidak boleh dengung;A
3;SMP;Perhatikan Q.S. An-Nisa/4:146. Mengapa tawakal harus didahului dengan keikhlasan beragama?;Karena syarat sahnya salat;Karena amal tanpa ikhlas tidak diterima Allah;Karena perintah nabi;Karena kewajiban sosial;B
4;SMP;Apa makna Istiqlal dalam konteks nama surah atau konsep ketuhanan?;Kemerdekaan/Kemandirian;Kedamaian;Ketabahan;Kemenangan;A
5;SMP;Mengapa iman kepada hari akhir dapat mencegah seseorang dari perilaku korupsi?;Takut dipenjara;Menyadari adanya pertanggungjawaban di akhirat;Ingin dipuji orang;Takut kepada atasan;B
6;SMP;Perbedaan antara Takdir Mubram dan Muallaq secara filosofis terletak pada...;Kehendak manusia dalam ikhtiar;Besarnya dosa;Waktu terjadinya;Kekuasaan Allah;A
7;SMP;Mengapa Al-Asmaul Husna sangat dianjurkan untuk dihafalkan dan dipahami maknanya?;Sebagai sarana mengenal Allah dan beribadah;Agar mudah menjawab ujian;Agar dikenal sebagai orang saleh;Syarat menjadi khatib;A
8;SMP;Dalam Al-Qayyum, Allah berdiri sendiri. Apa implikasinya bagi manusia?;Manusia harus rendah hati dan bergantung pada Allah;Manusia boleh sombong;Manusia harus mandiri total;Manusia tidak butuh orang lain;A
9;SMP;Apa dampak negatif perilaku Riya terhadap pahala seseorang?;Pahala berkurang setengah;Pahala hangus karena syirik kecil;Pahala tetap ada;Tidak ada pengaruhnya;B
10;SMP;Bagaimana cara menghindari Hasad (dengki) sesuai ajaran Islam?;Qanaah dan syukur atas nikmat Allah;Menjauhi pergaulan;Mencari harta sebanyak-banyaknya;Sering memuji diri sendiri;A
11;SMP;Hukum Sujud Tilawah dilakukan ketika...;Mendengar atau membaca ayat sajdah;Lupa rakaat salat;Mendapat nikmat;Mendapat musibah;A
12;SMP;Syarat sahnya Sujud Syukur adalah...;Harus wudhu;Menghadap kiblat;Dilakukan di luar salat;Harus di dalam masjid;C
13;SMP;Apa perbedaan utama antara Zakat Mal dan Zakat Fitrah?;Objek harta dan waktu pelaksanaan;Syarat sahnya;Jumlah orang yang menerima;Harus dikeluarkan emas;A
14;SMP;Mengapa Ghanimah tidak lagi relevan diterapkan secara umum di masa sekarang?;Tidak ada perang;Karena tidak ada lagi perang yang diakui syariat;Karena dilarang pemerintah;Karena tidak ada harta;B
15;SMP;Seseorang yang meninggalkan salat dengan sengaja, maka hukumnya...;Dosa besar dan wajib mengqadha;Cukup bayar denda;Gugur iman;Dosa kecil;A
16;SMP;Apa tujuan utama diterapkannya hukum Qishash dalam Islam?;Memberikan efek jera dan keadilan;Balas dendam keluarga;Menambah pendapatan negara;Mengurangi populasi;A
17;SMP;Mengapa Baitul Hikmah pada masa Bani Abbasiyah sangat penting bagi peradaban dunia?;Pusat penerjemahan dan pengembangan ilmu;Tempat militer;Gudang senjata;Tempat pengasingan;A
18;SMP;Siapakah ilmuwan Muslim yang menemukan dasar-dasar ilmu Aljabar?;Al-Khawarizmi;Ibnu Sina;Al-Farabi;Ibnu Khaldun;A
19;SMP;Apa hikmah dibalik peristiwa Isra' Mi'raj bagi Rasulullah SAW?;Penghiburan dan perintah salat lima waktu;Perjalanan biasa;Menemui raja;Mencari tempat tinggal;A
20;SMP;Mengapa dakwah Rasulullah di Mekah lebih banyak fokus pada tauhid?;Karena mereka tidak punya agama;Karena dasar Islam adalah mengesakan Allah;Karena perintah tokoh;Karena tidak ada aturan lain;B
21;SMP;Apa yang dimaksud dengan Tabayyun dalam menerima berita?;Melakukan klarifikasi/cek dan ricek;Langsung menyebarkan;Menghapus berita;Mendiamkan berita;A
22;SMP;Hukum Jual Beli yang mengandung unsur Gharar (ketidakjelasan) adalah...;Haram;Halal;Sunnah;Makruh;A
23;SMP;Apa dasar hukum Riba dilarang dalam Al-Qur'an?;Karena memberatkan orang kaya;Karena merugikan dan mengeksploitasi pihak lemah;Karena perintah adat;Karena tidak disukai raja;B
24;SMP;Bagaimana pandangan Islam terhadap Teknologi Informasi?;Boleh selama membawa kemaslahatan;Haram secara total;Tidak boleh digunakan;Wajib diikuti semuanya;A
25;SMP;Apa tujuan Nikah dalam Islam?;Menciptakan keluarga sakinah, mawaddah, warahmah;Menambah gengsi;Memenuhi nafsu;Menguasai harta;A
26;SMP;Mengapa Berbakti kepada Guru disejajarkan dengan berbakti pada orang tua?;Karena guru adalah nabi;Karena guru pemberi ilmu yang bermanfaat;Karena perintah hukum;Karena guru lebih tua;B
27;SMP;Apa konsekuensi orang yang Munafik menurut hadits?;Tempatnya di neraka yang paling bawah;Tidak apa-apa;Dosa kecil;Diterima Tuhan;A
28;SMP;Bagaimana Islam memandang Pergaulan Bebas?;Haram karena membuka pintu zina;Boleh selama suka sama suka;Halal bagi remaja;Tidak dibahas;A
29;SMP;Apa itu Syaja'ah?;Keberanian dalam membela kebenaran;Keberanian berkelahi;Sombong;Pasrah;A
30;SMP;Mengapa Sabar dalam menghadapi ujian tidak berarti pasif?;Karena sabar adalah diam;Karena sabar butuh perjuangan (ikhtiar);Karena sabar adalah malas;Karena sabar itu mudah;B
31;SMP;Hukum bacaan Qalqalah Sughra terjadi apabila...;Huruf qalqalah mati di tengah kata;Huruf qalqalah di akhir kalimat;Huruf qalqalah bertasydid;Huruf qalqalah berharakat;A
32;SMP;Apa inti dari surah Al-Hujurat ayat 13?;Keberagaman adalah karunia Allah (li ta'arafu);Semua manusia sama;Islam itu keras;Larangan berteman;A
33;SMP;Perbedaan Malaikat dan Jin adalah...;Malaikat dari cahaya, jin dari api;Malaikat terlihat, jin tidak;Jin bisa taat, malaikat tidak;Keduanya sama saja;A
34;SMP;Apa yang dimaksud dengan Kitab Suci sebagai pembeda (Al-Furqan)?;Pembeda antara hak dan batil;Buku pelajaran;Pedoman dagang;Kamus bahasa;A
35;SMP;Mengapa Rasul dipilih dari manusia, bukan malaikat?;Agar bisa menjadi teladan bagi manusia;Karena malaikat tidak bisa bicara;Karena rasul lebih kuat;Agar lebih mudah dicari;A
36;SMP;Perbedaan utama Kiamat Sugra dan Kubra adalah...;Kiamat sugra bersifat parsial/kecil;Tidak ada bedanya;Kiamat kubra lebih dulu;Sugra adalah kiamat total;A
37;SMP;Apa maksud dari Ajal tidak bisa dipercepat atau diundur?;Sesuai ketetapan Allah yang mutlak;Karena manusia tidak tahu;Karena dokter bisa menunda;Karena faktor kesehatan;A
38;SMP;Mengapa Ikhlas adalah syarat utama diterimanya amal?;Karena Allah menilai hati, bukan fisik;Agar dipuji manusia;Karena perintah nabi;Karena mempercepat waktu;A
39;SMP;Apa itu Amanah dalam konteks kepemimpinan?;Tanggung jawab yang harus ditunaikan;Kewenangan mutlak;Kesempatan mencari uang;Beban yang harus dibuang;A
40;SMP;Bagaimana cara bersyukur ketika diberi kelebihan harta?;Menunaikan zakat dan bersedekah;Menimbun harta;Pamer di media sosial;Membeli barang mewah;A
41;SMP;Salat Jamak hanya boleh dilakukan dalam kondisi...;Musafir atau kondisi darurat syariat;Saat malas;Saat sibuk;Saat ujian;A
42;SMP;Mengapa Salat Berjamaah lebih utama dari salat sendiri?;Karena pahalanya 27 derajat;Karena lebih cepat;Karena banyak teman;Karena tidak perlu baca sendiri;A
43;SMP;Apa itu Thaharah?;Bersuci dari hadas dan najis;Membersihkan rumah;Wudhu saja;Mandi wajib saja;A
44;SMP;Perbedaan Najis Mukhaffafah dan Mughallazah adalah...;Cara mensucikannya;Warnanya;Baunya;Jumlahnya;A
45;SMP;Apa tujuan Zakat dalam perspektif ekonomi Islam?;Pemerataan distribusi kekayaan;Menambah kekayaan orang kaya;Menghindari pajak;Mengurangi jumlah uang;A
46;SMP;Apa hikmah Ibadah Haji bagi umat Islam sedunia?;Persaudaraan dan kesetaraan di depan Allah;Wisata religi;Mencari peruntungan;Pamer kekayaan;A
47;SMP;Apa peran Wali Songo dalam sejarah Islam di Indonesia?;Akulturasi budaya dan dakwah moderat;Mengubah budaya total;Memerangi penduduk;Membentuk partai;A
48;SMP;Apa itu Khulafaur Rasyidin?;Pemimpin pengganti Rasul yang terbimbing;Raja-raja Islam;Ulama saja;Pengusaha;A
49;SMP;Mengapa kita harus menghormati perbedaan pendapat (Ikhtilaf)?;Karena perbedaan adalah rahmat;Karena harus seragam;Karena mengikuti nafsu;Karena tidak punya pendirian;A
50;SMP;Bagaimana cara mengamalkan Islam di era globalisasi?;Memegang teguh tauhid sambil tetap relevan dengan zaman;Menjauhi dunia;Mengikuti semua tren;Membenci dunia;A
